index,title,link,date
82," 국회, 설 직전 충돌 전망…북한 무인기·일제 강제동원·이태원 참사 쟁점",https://www.khan.co.kr/politics/politics-general/article/202301151036001,2023.01.15 10:36
83," 나경원, 장제원에 맞불···“제2의 진박감별사 당 쥐락펴락하는데 총선 이기겠나”",https://www.khan.co.kr/politics/politics-general/article/202301150821001,2023.01.15 08:21
84," 젤렌스키, 우크라이나 전쟁 1년 맞아 UN 방문 의사",https://www.khan.co.kr/politics/politics-general/article/202301142012001,2023.01.14 20:12
85," ‘공동 기자회견’ 없던 미·일 정상회담, 바이든 ‘기밀 유출 의혹’ 부담 탓?",https://www.khan.co.kr/politics/politics-general/article/202301141958001,2023.01.14 19:58
86, 민주당 “이재명 변호사비 대납? 새빨간 거짓말”,https://www.khan.co.kr/politics/politics-general/article/202301141935001,2023.01.14 19:35
87," 이준석, 전당대회 앞두고 장제원 저격?…“‘사무총장 호소인’ 심판하면 돼”",https://www.khan.co.kr/politics/politics-general/article/202301141708001,2023.01.14 17:08
88, 이재명 “이태원 참사 국정조사 이후에도 진상규명 이어갈 방안 마련할 것“,https://www.khan.co.kr/politics/politics-general/article/202301141612001,2023.01.14 16:12
89," 나경원 측, ‘김기현 1위’ 여론 조사에 “여론 마사지” 반발",https://www.khan.co.kr/politics/politics-general/article/202301141559001,2023.01.14 15:59
90," 민주당 시·도지사들, 설 앞두고 노무현 묘역 참배",https://www.khan.co.kr/politics/politics-general/article/202301141524001,2023.01.14 15:24
91," 허은아 의원, 장제원 ‘한 줌 반윤’ 언급에 “오만한 낙인찍기”",https://www.khan.co.kr/politics/politics-general/article/202301141252001,2023.01.14 12:52
92," 윤 대통령, 새해 첫 해외순방 출국···“모든 일정, 경제에 초점”",https://www.khan.co.kr/politics/politics-general/article/202301141007001,2023.01.14 10:07
93," 김기현, 국민의힘 당대표 지지율 1위···나경원과 오차범위",https://www.khan.co.kr/politics/politics-general/article/202301140934001,2023.01.14 09:34
94," 장제원 “나경원, 통속적인 정치신파극”···저격 이어가",https://www.khan.co.kr/politics/politics-general/article/202301140919001,2023.01.14 09:19
95," 나경원, ‘친윤 어필’하며 정식 사직서 제출…설 연휴 대표 출마 선언하나",https://www.khan.co.kr/politics/politics-general/article/202301131657001,2023.01.13 16:57
96, 야 3당 “이태원 참사 특수본 수사는 ‘꼬리자르기’···특검 수사 불가피”,https://www.khan.co.kr/politics/politics-general/article/202301131619011,2023.01.13 16:19
